COD_RH;                 NOMBRE;                TITULO;                 LIBRO;                FECHA;                ISBN;                LUGAR;                PAGINAS 
1429722;Andres Camilo Jimenez Alvarez;Design of a System for Vehicle Traffic Estimation for Applications on IoT;MISNC 17 4th Multidisciplinary International Social Networks Conference;2017;9,78E+12;Tailandia;p.1 - 6 1
1429722;Andres Camilo Jimenez Alvarez;WSN analysis in grid topology for potato crops for IoT;MISNC 17 4th Multidisciplinary International Social Networks Conference;2017;9,78E+12;Tailandia;p.264 - 271 1
594822;José Andelfo Lizcano Caro;Estratificación Socioeconómica;Manual para el Control y la Gestión de los Servicios Públicos Domiciliarios;1998;0;Colombia;p.92 - 99
594822;José Andelfo Lizcano Caro;Determinación de áreas susceptibles a inundación en cuencas urbanas el microsistema Garabatos, México;Agua, ciudad y territorio;2021;9,79E+12;México;p.95 - 116 1
594822;José Andelfo Lizcano Caro;Movilidad activa en los entornos urbanos postcovid el caso de Bogotá, Colombia;Neociudades Expresiones postcovid en la ciudad y el territorio;2023;9,79E+12;México;p.77 - 102 1
166618;César Amílcar López Bello;Aspectos históricos de logística militar;Logistica Focalizada;2013;9,79E+12;Colombia;p.13 - 32 1
166618;César Amílcar López Bello;Evolución del pensamiento logístico empresarial;Logistica Focalizada;2013;9,79E+12;Colombia;p.33 - 58 1
166618;César Amílcar López Bello;Clasificación de los modelos matemáticos aplicados al diseño de sistemas logísticos militares;Logistica Focalizada;2013;9,79E+12;Colombia;p.85 - 108 1
166618;César Amílcar López Bello;Aspectos doctrinales de la logística focalizada;Logistica Focalizada;2013;9,79E+12;Colombia;p.59 - 84 1
201014;Alexandra Maria López Sevillano;Diseño implementación y validación de una estrategia didáctica para educación superior con contenido digital en promoción y prevención en salud;Redes de Investigación en Docencia Universitaria Volumen 2018;2018;9,79E+12;España;p.166 - 167
201014;Alexandra Maria López Sevillano;Estudio de vigilancia tecnológica para la gobernanza corporativa y la gobernanza de proyectos de tecnologías de Información;Ocho investigaciones inéditas de investigadores innovadores;2020;9,79E+12;Colombia;p.188 - 212
201014;Alexandra Maria López Sevillano;Estudio de vigilancia tecnológica para la gobernanza corporativa y la gobernanza de proyectos de tecnologías de Información;Ocho investigaciones inéditas de investigadores innovadores;2020;9,79E+12;Colombia;p.188 - 212
201014;Alexandra Maria López Sevillano;Esquema de alineación de la gobernanza de proyectos de tecnologías de información y la gobernanza corporativa en Colombia;Libro de divulgación 894;2020;9,79E+12;Colombia;p.191 - 213 1
201014;Alexandra Maria López Sevillano;Pobreza definición, retos y tendencias investigativas para su gestión;Libro de divulgación 894;2020;9,79E+12;Colombia;p.215 - 238 1
201014;Alexandra Maria López Sevillano;Esquema de alineación de la gobernanza de proyectos de tecnologías de información y la gobernanza corporativa en Colombia;La gestión de proyectos sostenibles como herramienta para el fortalecimiento de la competitividad,;2020;9,79E+12;Colombia;p.191 - 213 1
201014;Alexandra Maria López Sevillano;Pobreza definición, retos y tendencias investigativas para su gestión;La gestión de proyectos sostenibles como herramienta para el fortalecimiento de la competitividad,;2020;9,79E+12;Colombia;p.215 - 238 1
201014;Alexandra Maria López Sevillano;Trends in Management of TI Projects and CEO Competence;Research on Project Management Strategies and Tools for Organizational Success;2020;9,78E+12;Estados Unidos;p.19 - 48 1
201014;Alexandra Maria López Sevillano;Aplicativo web para el análisis de series de tiempo de imágenes satelitales para variables meteorológicas e índices;libro Investigación formativa en ingeniería;2020;9,79E+12;Colombia;p.254 - 263
201014;Alexandra Maria López Sevillano;Desarrollo de un visor geográfico para el análisis espacial y temporal de los brotes de la enfermedad huanglongbing de los cítricos y su vector diaphorina citri kuwayama en la zona norte de Colombia;libro Investigación formativa en ingeniería;2020;9,79E+12;Colombia;p.209 - 217
