COD_RH;                 PARTICIPANTE;                 EVENTO;                FECHA;                LUGAR;                PRODUCTOS;                 TIPO_PRODUCTO 
0000217344;Elvis Eduardo Gaona Garcia;IEEE 6th International Conference on Future Internet of Things and Cloud FiCloud2018;2018;Barcelona;Cybersecurity in microgrids;Producción técnica  Presentación de trabajo  Ponencia;
0000630080;Ricardo Alirio Gonzalez Bustamante;FUNDACIN AUTNOMA DE COLOMBIA;2015;BOGOTÁ, DC;mplementación Planta Telefónica IP entre el Laboratorio de Telemática de la Fundación Universidad Autónoma de Colombia y el Laboratorio ANKLA de Cinte;Producción técnica  Presentación de trabajo  Ponencia;
0000630080;Ricardo Alirio Gonzalez Bustamante;EL CUARTO CONGRESO INTERNACIONAL EN CIENCIA Y TECNOLOGA AEROESPACIAL CICTA 2012;2012;BOGOTÁ, DC;;;
0000630080;Ricardo Alirio Gonzalez Bustamante;CONGRESO INTERNACIONAL DE TIC ANDICOM 2012;2012;CARTAGENA DE INDIAS;;;
0000630080;Ricardo Alirio Gonzalez Bustamante;INTRODUCCIN A LA GESTIN EN PROCESOS DE INVESTIGACIN;2006;BOGOTÁ, DC;;;
0000630080;Ricardo Alirio Gonzalez Bustamante;DOCENCIA UNIVERSITARIA;2007;BOGOTÁ, DC;;;
0000630080;Ricardo Alirio Gonzalez Bustamante;FORO INTERNACIONAL TELEVISIN DIGITAL Y ESPECTRO 2012;2012;BOGOTÁ, DC;;;
0000630080;Ricardo Alirio Gonzalez Bustamante;PROCESOS DE INVESTIGACION;2007;BOGOTÁ, DC;;;
0000630080;Ricardo Alirio Gonzalez Bustamante;Sexto Congreso Internacional de Ciencia y Tecnología Aeroespacial 2016 CICTA 2016;2016;BOGOTÁ, DC;TELEVISIN SATELITAL DIGITAL;Producción técnica  Presentación de trabajo  Ponencia;
0000630080;Ricardo Alirio Gonzalez Bustamante;EL CUARTO CONGRESO INTERNACIONAL EN CIENCIA Y TECNOLOGA AEROESPACIAL  CICTA 2012;2012;BOGOTÁ, DC;TELEVISIN SATELITAL DTH EN COLOMBIA;Producción técnica  Presentación de trabajo  Ponencia;
0000630080;Ricardo Alirio Gonzalez Bustamante;QUINTO CONGRESO INTERNACIONAL EN CIENCIA Y TECNOLOGA AEROESPACIAL CICTA2014;2014;BOGOTÁ, DC;TELEVISIN SATELITAL EN COLOMBIA;Producción técnica  Presentación de trabajo  Ponencia;
0000630080;Ricardo Alirio Gonzalez Bustamante;5CONGRESO INTERNACIONAL DE ESPECTRO;2015;BOGOTÁ, DC;;;
0000630080;Ricardo Alirio Gonzalez Bustamante;2 ENCUENTRO NACIONAL DE SEMILLEROS DE INVESTIGACIN EN IJGENIERA ELECTRNICA;2015;BOGOTÁ, DC;;;
0000630080;Ricardo Alirio Gonzalez Bustamante;IV CONGRESO INTERNACIONAL EN TELECOMUNICACIONES, TECNOLOGAS DE LA INFORMACIN Y COMUNICACIONES;2011;Quito;;;
0000630080;Ricardo Alirio Gonzalez Bustamante;4 CONGRESO INTERNACIONAL DE ESPECTRO;2014;BOGOTÁ, DC;;;
0000630080;Ricardo Alirio Gonzalez Bustamante;Microwave Conference LAMC, IEEE MTTS Latin America;2016;Puerto Vallarta;Correlation analysis of propagation models for an DVB  T2 network in an urban scenario of Bogotá D C Colombia;Producción técnica  Presentación de trabajo  Ponencia;
0000630080;Ricardo Alirio Gonzalez Bustamante;Congreso Internacional sobre Gestión del Conocimiento en las Organizaciones;2022;Hagelstadt;Inteligencia Artificial, Estudio de Caso Detección de Retinopatía Diabética a través de Redes Neuronales en Ciudadanos de BogotáColombia;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000630080;Ricardo Alirio Gonzalez Bustamante;3er encuentro nacional de investigación;2020;BOGOTÁ, DC;Medición de espectro radioeléctrico en el rango de 3 KHz a 62 GHz en una zona urbana de Bogotá DC;Producción técnica  Presentación de trabajo  Ponencia;
0000630080;Ricardo Alirio Gonzalez Bustamante;EXPOTECH 2018 y III ENCUENTRO DE CIENCIAS BSICAS;2018;MEDELLÍN;Ciudades Inteligentes;Producción técnica  Presentación de trabajo  Ponencia;
0000630080;Ricardo Alirio Gonzalez Bustamante;Conferencia Internacional de Ingeniería  InNGENIO 2018;2018;MEDELLÍN;Diseño y Simulación de Arreglos de Antena en la Frecuencia de 72 GHz Banda  E para empleo en Redes Móviles 5G;Producción técnica  Presentación de trabajo  Ponencia;
0000630080;Ricardo Alirio Gonzalez Bustamante;IEEE MTTS Latin American Microwave Conference  LAMC 2018;2018;Arequipa;Radiopropagation Simulations in 28 GHz, 38 GHz and 60 GHz with 128 Elements Massive MIMO Array for 5G Networks;Producción técnica  Presentación de trabajo  Ponencia;
0000630080;Ricardo Alirio Gonzalez Bustamante;Conferencia Internacional de Ingeniería InNGENIO 2017;2017;MEDELLÍN;Análisis de Radiopropagación de un eNodoB en un Escenario Urbano;Producción técnica  Presentación de trabajo  Ponencia;
0000630080;Ricardo Alirio Gonzalez Bustamante;IV School on Systems and Networks  SSN 2018 Universidad Austral de Chile, Valdivia, Chile;2018;Valdivia;Radiopropagation Performance Analysis Simulations of Massive MIMO Configurations in 28 GHz;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;VIII ENCUENTRO NACIONAL AMBIENTAL LA GESTIN DEL AGUA RESIDUAL, UN RETO PARA EL MANEJO AMBIENTAL EN COLOMBIA;2014;BOGOTÁ, DC;;;
0001392818;Jeniffer Paola Gracia Rojas;IX ENCUENTRO INTERNACIONAL AMBIENTAL LOS EFECTOS DEL CALENTAMIENTO GLOBAL EN LA BIODIVERSIDAD;2015;BOGOTÁ, DC;;;
0001392818;Jeniffer Paola Gracia Rojas;IV SIMPOSIO INTERNACIONAL DE RESPONSABILIDAD SOCIAL DE LAS ORGANIZACIONES APORTES TERICO PRCTICOS PARA EL DESARROLLO SOSTENIBLE EN AMRICA LATINA;2016;BOGOTÁ, DC;HERRAMIENTAS DE PRODUCCIN MS LIMPIA PARA LA GESTIN AMBIENTAL DE MEZCAUCHOS;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;Primer Congreso Latinoamericano sobre Conflictos Ambientales;2014;Buenos Aires;Biomasa y Carbono almacenado en especias nativas como adaptación al cambio climático de Bogotá;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;II Congreso Internacional de Desarrollo Sostenible y III encuentro Internacional de Semilleros de Investigación;2016;IBAGUÉ;Convenciones Alfonso López Pumarejo, con una ponencia oral  Diseño de un sistema integral de gestión para la empresa Flota Andina Limitada de Bogotá;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;II Congreso Iberoamericano de Recursos Humanos y Responsabilidad Social Corporativa;2017;CALI;Diseño de un SGI basado en las normas NTCISO 90012015,140012015 y el Decreto 1072 de 2015 para la empresa Surtiapliques Ltda BogotáColombia;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001392818;Jeniffer Paola Gracia Rojas;CHEAP16, 16th International Conference on CHEMICAL AND PROCESS ENGINEERING;2023;Napoli;2Acidogenic Fermentation at a Thermophilic Temperature from Municipal Sewage Sludge for the Production of VFAs;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;8TH INTERNATIONAL CONFERENCE ON SUSTAINABLE SOLID WASTE MANAGEMENT THESSALONIKI;2021;No Aplica;Significant volatile fatty acids production by using primary and digested sludge as raw materials in anaerobic fermentation;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;Primer Congreso de Ingeniería, Desarrollo Humano y Sostenibilidad Global  ETITC;2022;BOGOTÁ, DC;Primer Congreso de Ingeniería, Desarrollo Humano y Sostenibilidad Global  ETITC;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;International Conference on Management, Tourism and Technologies to;2023;BOGOTÁ, DC;Adaptación de un modelo de temperatura para reactor de digestión anaerobia en Semicontinuo;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;VII Congreso internacional del agua y el ambiente;2022;Natal;PRODUCCIN DE CIDOS GRASOS VOLTILES MEDIANTE FERMENTACIN ACIDOGNICA A ESCALA DE LABORATORIO, UTILIZANDO LODOS DE DEPURADORA PRIMARIOS Y DIGERIDOS;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;Multidisciplinary International Conference of Research Applied to Defense and Security;2022;BARRANQUILLA;Tendencias de la acumulación de biogás como fuente energética en la fase acidogénica de la producción de ácidos grasos volátiles a partir de lodos de aguas residuales municipales;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;10th International Conference on Sustainable Solid Waste Management Chania;2023;No Aplica;10th International Conference on Sustainable Solid Waste Management Chania;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;5 CONGRESO NACIONAL Y 1 INTERNACIONAL DE CIENCIAS AMBIENTALES;2021;BOGOTÁ, DC;Análisis del ciclo de vida en la empresa del sector de artes gráficas ETIPRESS sa etiquetas e impresos;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;Nuevo Panorama de la Ciencia, la Tecnología y la Innovación;2020;BOGOTÁ, DC;Producción de ácidos grasos volátiles a partir de la fermentación anaerobia de lodos de plantas de aguas residuales;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001392818;Jeniffer Paola Gracia Rojas;Nuevo Panorama de la Ciencia, la Tecnología y la Innovación;2020;BOGOTÁ, DC;Producción de ácidos grasos volátiles a partir de lodo primario de PTAR variando parámetros operacionales;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001392818;Jeniffer Paola Gracia Rojas;XVI Congreso Latinoamericano IISE Diseño e innovación de Procesos Industriales;2019;BOGOTÁ, DC;Implementación de herramientas de producción mas limpia en empresas de artes graficas en Bogotá;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;VII Encuentro Nacional de Semilleros de Investigación;2019;BOGOTÁ, DC;Evaluación de la transformación de aguas residuales en productos de valor agregado producción de Polihydroxyalkanoates PHAs;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;XVI Congreso Latinoamericano IISE Diseño e innovación de Procesos Industriales;2019;BOGOTÁ, DC;Formulación de herramientas de producción más limpia en industrias de electrodomésticos en Bogotá;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;IX Simposio Internacional de Investigación Técnica Profesional, Tecnológica y Universitaria Energías Renovables y desarrollos sosteniblesRetos de la formación TyT;2019;BOGOTÁ, DC;Evaluación de la transformación de aguas residuales en productos de valor agregado producción de polihydroxyalkanoates phas;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001392818;Jeniffer Paola Gracia Rojas;XVI Congreso Latinoamericano IISE Diseño e innovación de Procesos Industriales;2019;BOGOTÁ, DC;Implementación de herramientas de la calidad para la producción más limpia en la industria de alimentos caninos;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;Encuentro de investigadores en Limnología Colombiana;2019;BOGOTÁ, DC;Evaluación espacial y temporal de la calidad del agua a partir de parámetros hidrobiológicos de la quebrada Las Delicias Cerros orientales Bogotá;Demás trabajos  Demás trabajos  Póster;
0001392818;Jeniffer Paola Gracia Rojas;I congreso Colombiano de Servicios Ecosistémicos el papel de la naturaleza en nuestro bienestar;2019;BOGOTÁ, DC;Valoración económica de los servicios culturales de la microcuenca Las Delicias, Cerros orientales, Bogotá;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;INTERNATIONAL CONFERENCE ON TOURISM, TECHNOLOGY  SYSTEMS  ICOTTS20;2020;CARTAGENA DE INDIAS;Evaluación del turismo deportivo en la ciudad de CartagenaColombia desde la gestión ambiental y las Tecnologías de la Información y la Comunicación;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;VI CONGRESO INTERNACIONAL DEL AGUA Y EL AMBIENTE Ciaya 6;2020;BOGOTÁ, DC;Calidad del agua de la quebrada Las Delicias, cerros orientales de Bogotá;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;International Conference on Safety  Enviroment in Process  Power Industry CISAP 8;2018;Milán;Application of Cleaner Production for Environmental Management in Mezcauchos SAS;Demás trabajos  Demás trabajos  Póster;
0001392818;Jeniffer Paola Gracia Rojas;III Congreso Latiniamericano sobre conflictos ambientales COLCA;2018;Veracruz;Vulnerabilidad y Riesgo de la Quebrada Grande de San Antonio del Tequendama CundinamarcaColombia;Producción técnica  Presentación de trabajo  Ponencia;
0001392818;Jeniffer Paola Gracia Rojas;International Conference on Biomass ICONMB 2018;2018;Milán;AMOUNT OF CARBON STORE IN THE SPECIES FICUS Soatensis and TECOMA Stans ESTABLISHED IN THE LOCALITY OF PUENTE ARANDA, BOGOT DC;Producción técnica  Presentación de trabajo  Ponencia;
0000903868;Esteban De Jesús Hernández Barragán;16th IEEEACM International Symposium on Cluster, Cloud and Grid Computing;2016;CARTAGENA DE INDIAS;enerGyPU and enerGyPhi Monitor for Power Consumption and Performance Evaluation on Nvidia Tesla GPU and Intel Xeon Phi;Producción técnica  Presentación de trabajo  Ponencia;
0000903868;Esteban De Jesús Hernández Barragán;Computing Congress CCC, 2011 6th Colombian;2011;BOGOTÁ, DC;PERFORMANCE ANALISYS ON MULTICORE SYSTEM USING PAPI;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0000903868;Esteban De Jesús Hernández Barragán;Cuarto Congreso Colombiano de Computación;2009;BUCARAMANGA;;;
0000903868;Esteban De Jesús Hernández Barragán;The International Conference for High Performance Computing, Networking, Storage and Analysis 2016;2016;Salt Lake City;Energetically Efficient Acceleration EEAAware For Scientific Applications of LargeScale On Heterogeneous Architectures;Demás trabajos  Demás trabajos  Póster;
0000903868;Esteban De Jesús Hernández Barragán;4 HPC Summer School;2021;BOGOTÁ, DC;;;
0000903868;Esteban De Jesús Hernández Barragán;3 HPC Summer School;2020;BOGOTÁ, DC;;;
0000903868;Esteban De Jesús Hernández Barragán;5 HPC Summer School;2022;BOGOTÁ, DC;;;
0000903868;Esteban De Jesús Hernández Barragán;2 HPC Summer School;2019;BOGOTÁ, DC;;;
0000903868;Esteban De Jesús Hernández Barragán;6 HPC Summer School;2023;BOGOTÁ, DC;;;
0000903868;Esteban De Jesús Hernández Barragán;1st HPC Summer School;2018;BOGOTÁ, DC;;;
0001164023;Jhon Francined Herrera Cubides;Primera Jornada de Software Libre;2005;VILLAVICENCIO;;;
0001164023;Jhon Francined Herrera Cubides;Seminario Taller La nueva noma ICONTEC 1486;1994;VILLAVICENCIO;;;
0001164023;Jhon Francined Herrera Cubides;Seminario Perfil Empresarial y Creacion de Empresas;2001;VILLAVICENCIO;;;
0001164023;Jhon Francined Herrera Cubides;VIII Congreso Internacional de Publicaciones Universitarias de Iberoamérica Conocimiento y Sociedad;2009;BOGOTÁ, DC;;;
0001164023;Jhon Francined Herrera Cubides;Seminario Diseño Curricular;2005;BOGOTÁ, DC;;;
0001164023;Jhon Francined Herrera Cubides;12 th INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS  TECHNOLOGY MANAGEMENT;2015;So Paulo;PREDICTING THE INTENTION OF USING A TECHNOLOGY PRODUCT OR SERVICE THROUGH A FUZZY CONTROLLER;Producción técnica  Presentación de trabajo  Ponencia;
0001164023;Jhon Francined Herrera Cubides;Seminario Taller Programacion orientada a Objetos bajo Windows;1996;VILLAVICENCIO;;;
0001164023;Jhon Francined Herrera Cubides;Jornadas Virtuales virtual USATIC Ubicuo y Social Aprendizaje con TIC;2014;Zaragoza;Uso de las TIC en la Construcción de OVA, como estrategia para inclusión de personas con discapacidad visual;Producción técnica  Presentación de trabajo  Ponencia;
0001164023;Jhon Francined Herrera Cubides;XI Latin American Conference on Learning Objects and Technology;2016;San Carlos;The Web of Data Past, Present and Future;Producción técnica  Presentación de trabajo  Ponencia;
0001164023;Jhon Francined Herrera Cubides;Reunión Nacional ACOFI 2010;2010;SANTA MARTA;Interdisciplinariedad y Trasnversalidad de la Investigacion en Ingenieria Caso de Exito Engineer;Producción técnica  Presentación de trabajo  Congreso;
0001164023;Jhon Francined Herrera Cubides;Virtual USATIC 2014 Ubicuo y Social Aprendizaje con TIC;2014;Zaragoza;;;
0001164023;Jhon Francined Herrera Cubides;6 CONTECSI Congreso Internacional sobre Sistemas de Información y Gestión de la Tecnología;2009;So Paulo;Knowledge appropriation between private education institutions Cupi2 project transfer from Uniandes to Uniminuto;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001164023;Jhon Francined Herrera Cubides;Reunión Nacional y Expo ingeniería ACOFI 2009 Ciencia, Tecnología e innovación en Ingeniería como aporte a la Competitividad del País;2009;SANTA MARTA;Guía para la Apropiación de Conocimiento entre instituciones de Educación Superior Privadas;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001164023;Jhon Francined Herrera Cubides;Reunion Nacional ACOFI 2011 Acciones y Cambios en las Facultades de Ingenieria;2011;SANTA MARTA;Interdisciplinariedad y Transversalidad de la Investigacion Caso de Exito Engineer;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001164023;Jhon Francined Herrera Cubides;Redacción Científica en Ingles;2009;BOGOTÁ, DC;;;
0001164023;Jhon Francined Herrera Cubides;Reunión Nacional y Expo ingeniería ACOFI 2009;2009;SANTA MARTA;;;
0001164023;Jhon Francined Herrera Cubides;X Jornada Nacional de Seguridad Informática;2010;BOGOTÁ, DC;;;
0001164023;Jhon Francined Herrera Cubides;II Simposio Construccion de Software;2010;BOGOTÁ, DC;;;
0001164023;Jhon Francined Herrera Cubides;Reunión Nacional y Expo ingeniería ACOFI 2010;2010;SANTA MARTA;;;
0001164023;Jhon Francined Herrera Cubides;Reunión Nacional ACOFI 2011;2011;SANTA MARTA;;;
0001164023;Jhon Francined Herrera Cubides;Evento Expo Poster  V Semana de Ingeniería de Sistemas;2013;BOGOTÁ, DC;;;
0001164023;Jhon Francined Herrera Cubides;Aseguramiento de Calidad en IES;2000;VILLAVICENCIO;;;
0001164023;Jhon Francined Herrera Cubides;2nd International Conference on Internet Economics and PsychoEconomics 2017;2017;Bali;A fuzzy logic model based on Web of Trust to access Linked Open Data resource;Producción técnica  Presentación de trabajo  Ponencia;
0001164023;Jhon Francined Herrera Cubides;Ciclo de Conferencias I3 Instituto de Investigación e Innovación en Ingeniería;2020;BOGOTÁ, DC;Datos Abiertos Qué son Dónde están Qué beneficios ofrecen;Producción técnica  Presentación de trabajo  Ponencia;
0001164023;Jhon Francined Herrera Cubides;Métodos de Solución de Problemas basados en SoftComputing;2018;BOGOTÁ, DC;;;
0001164023;Jhon Francined Herrera Cubides;Workshop Pruebas de Aceptación de Software en Entornos giles;2020;BOGOTÁ, DC;;;
0001164023;Jhon Francined Herrera Cubides;14 International Conference on Artificial Intellingence Applications and Innovations;2018;Rhodes;Evaluation of the Linked Open Data Quality Based on a Fuzzy Logic Model;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001164023;Jhon Francined Herrera Cubides;EMENAISTL International Conference Europe Middle East  North Africa Information Systems and Technologies to Support Learning;2018;Fez;VACIT Tool for consumption, analysis and Machine learning for LOD resources on CKAN instances;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001164023;Jhon Francined Herrera Cubides;XIII CIECT  Congreso Internacional de Electrónica, Control y Telecomunicaciones 2018;2018;BOGOTÁ, DC;Uso de Visual Analytics y Machine Learning para evaluar niveles de confianza de Recursos LOD sobre Instancias CKAN;Producción técnica  Presentación de trabajo  Ponencia;
0001429722;Andres Camilo Jimenez Alvarez;XVI convención de Ingeniería Eléctrica CIE2015;2015;La Habana;Análisis de Trafico H264SVC en función del numero de saltos en redes Ad Hoc;Producción técnica  Presentación de trabajo  Ponencia;
0001429722;Andres Camilo Jimenez Alvarez;II Congreso Internacional de Innovación y Tendencias en Ingeniería;2016;BOGOTÁ, DC;PROCESOS DE APRENDIZAJE COLECTIVOS BASADO EN EXPERIENCIAS INTERACTIVAS DE USUARIO ANALISIS DE CASO SOFTWARE DE SIMULACIN EN INGENIERA INDUSTRIAL;Producción técnica  Presentación de trabajo  Ponencia;
0001429722;Andres Camilo Jimenez Alvarez;XVI convención de Ingeniería Eléctrica CIE2015;2015;Cayo Santa Maria;Detección de bordes Usando una Cell Matrix con una Nueva Arquitectura de Célula;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001429722;Andres Camilo Jimenez Alvarez;Second International Conference on Research in Intelligent and Computing in Engineering RICE17;2017;Uttrakhand;Analysis of TCP streaming over VANETs;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;Congreso de Electrónica, Robótica y Mecánica AutomotrizCERMA 2011;2011;Cuernavaca;Detection of the Tiredness Level of Drivers Using Machine Vision Techniques;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;Electronics, Robotics and Automotive Mechanics Conference CERMA, 2012 IEEE;2012;Cuernavaca;Multitank fuzzy level controller system using Kinect;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;VI International Symposium on Energy  Innovation  Entrepreneurship Forum;2014;Gurabo;Prototype electromechanic for energy microgeneration for biometric access control in locker;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;Congreso Bienal de IEEE Argentina ARGENCON 2014;2014;San Carlos de Bariloche;Planeación de trayectorias para un móvil robótico en un ambiente 3D;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;XVI Convención de Ingeniería Eléctrica CIE 2015;2015;Santa Clara;Algoritmo de aprendizaje profundo para discriminación de herramientas en imágenes;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;V Congreso Internacional de Ingeniería Mecatrónica y Automatización  CIIMA 2016;2016;BUCARAMANGA;Diseño e implementación de un prototipo de robótica colaborativa de ensamble producto;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;XI Congreso Internacional de electrónica, control y telecomunicaciones;2015;BOGOTÁ, DC;Desarrollo de un agente móvil para transporte de información ambiental mediante enlaces ópticos;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;XXIV International Conference on Electronics, Electrical Engineering and Computing INTERCON;2017;Cusco;Convolutional neural network architecture for hand gesture recognition;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;Congreso Internacional de Ciencias Básicas e Ingeniería CICI 2016;2016;VILLAVICENCIO;Caracterización de marcha de un robot humanoide para seguimiento de trayectorias;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;IX CONGRESO INTERNACIONAL DE ELECTRNICA CONTROL Y TELECOMUNICACIONES;2013;BOGOTÁ, DC;RED DE SENSORES PARA MONITOREO DE SIGNOS VITALES;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;XVIII Symposium of Image, Signal Processing, and Artificial Vision STSIVA 2013 ;2013;BOGOTÁ, DC;Dynamic obstacle avoidance of a mobile robot through the use of machine vision algorithms;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;IEEE International Midwest Symposium on Circuits and Systems56th IEEE MWSCAS;2013;Columbus;Monitoring system for global solar radiation, temperature, current and power for a photovoltaic system interconnected with the electricity distribution network in Bogota;Demás trabajos  Demás trabajos  Póster;
0001344169;Robinson Jimenez Moreno;I SIMPOSIO REGIONAL DE INGENIERIA ELECTRONICA Y DE SISTEMAS UNIVERSIDAD DE LOS LLANOS;2012;VILLAVICENCIO;Esquemas de comunicación para robótica cooperativa;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;XVIII Simposio de Tratamiento de Señales, Imágenes y Visión Artificial  STSIVA 2013;2013;NEIVA;Dynamic obstacle avoidance of a mobile robot through the use of machine vision algorithms;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;X CONGRESO INTERNACIONAL DE ELECTRNICA CONTROL Y TELECOMUNICACIONES;2014;BOGOTÁ, DC;Visión de Máquina para desplazamiento 3D de un Robot humanoide;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;Primer encuentro nacional de semilleros de investigación en ingeniería electrónica;2014;BOGOTÁ, DC;Exoesqueleto para control de brazo robótico;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;Optics, Photonics, and Digital Technologies for Multimedia Applications II;2012;Bruselas;Video surveillance for monitoring drivers fatigue and distraction;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;Workshop on Engineering Applications WEA, 2012;2012;BOGOTÁ, DC;Dynamic traffic light controller using machine vision and optimization algorithms;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;First International Conference on Advanced Mechatronics, Design, and Manufacturing Technology  AMDM 2012;2012;PEREIRA;Detección de distracción en conductores mediante técnicas de visión de máquina;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;5to Congreso Internacional de Matemáticas AplicadasAPPLIEDMATH 5;2012;Ciudad de México;Desarrollo de un algoritmo para el establecimiento del estado de fatiga mediante software libre;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno; I Encuentro Nacional y VII Encuentro de Investigaciones UMNG;2012;BOGOTÁ, DC;Diseño de una Intefaz de Teleoperación;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;Fifth International Symposium on Energy, Puerto Rico Energy Center PRECLACCEI;2013;Gurabo;Rural residential illumination through the use of solar energy and LEB bulbs;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;2013 IEEE Colombian Conference on Communications and Computing COLCOM 2013;2013;MEDELLÍN;Prototype of a PLC based communication system for residential electrical consumption measurement;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;Segundo encuentro de semilleros de investigación y grupos de estudio en control, automatización, ingeniería mecatrónica y afines;2013;BOGOTÁ, DC;Seguimiento de gripper de un brazo robótico mediante kinect para teleoperación;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344169;Robinson Jimenez Moreno;Segundo Congreso Internacional sobre Tecnologías Avanzadas de Mecatrónica, Diseño y Manufactura AMDM 2014;2014;BOGOTÁ, DC;Predicción neuronal de consumo energético ante variaciones de tráfico vehicular;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno; XIX Simposio Internacional de Tratamiento de Señales, Imágenes y Visión Artificial  STSIVA 2014;2014;ARMENIA;Embedded System for Detecting Fatigue in Drivers;Demás trabajos  Demás trabajos  Póster;
0001344169;Robinson Jimenez Moreno;II Congreso Internacional de Ingeniería Mecatrónica y Automatización, CIIMA 2013;2013;BOGOTÁ, DC;Design and construction of a prototype rehabilitation machine to hand and wrist;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
